condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,seed,annotation_source,annotation_manifest,is_fixture
A1_tanpa_feedback,entity,0.6782094906540411,0.9074074074074074,0.5555555555555556,0.7037037037037037,0.5354722011381616,0.19215686274509805,0.9046768886088357,0.3464528943496014,0.3074151968413174,583.0,54.0,0.09262435677530018,42,184,0.9230658400449678,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,all,0.6011184082060336,0.9074074074074074,0.5,0.6111111111111112,0.5138942233830082,0.15605095541401273,0.8920285227756493,0.3791566362025326,0.31962111194651094,750.0,54.0,0.072,42,184,0.9230658400449678,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,entity,0.6472734325827856,0.8703703703703703,0.5185185185185185,0.6851851851851852,0.5603318250377074,0.20614035087719298,0.8924595673177904,0.28477434404849133,0.2440171396675442,583.0,54.0,0.09262435677530018,43,109,0.9223350097350735,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,all,0.5959408848443636,0.8703703703703703,0.5185185185185185,0.5925925925925926,0.5378026109016958,0.16785714285714284,0.8839399744572158,0.31952325135581056,0.25362674915880645,750.0,54.0,0.072,43,109,0.9223350097350735,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,entity,0.6318337853475078,0.9074074074074074,0.5185185185185185,0.6481481481481481,0.5280584932758845,0.18773946360153257,0.8844780508296577,0.3548024475286745,0.3144410375572598,583.0,54.0,0.09262435677530018,44,107,0.9212453041681161,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,all,0.5733741180113244,0.9074074074074074,0.48148148148148145,0.5925925925925926,0.5138942233830082,0.15605095541401273,0.874946785866326,0.3904874087467631,0.3235212076390055,750.0,54.0,0.072,44,107,0.9212453041681161,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,entity,0.6532287665615769,0.8703703703703703,0.5185185185185185,0.6851851851851852,0.5340262879126847,0.18875502008032127,0.8955051459777358,0.3237196503726484,0.28654977118824193,583.0,54.0,0.09262435677530018,45,103,0.9250879032716108,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,all,0.5818265488247634,0.8703703703703703,0.48148148148148145,0.6111111111111112,0.516604542079299,0.1551155115511551,0.8884897828863345,0.3376012522825521,0.28802765506801387,750.0,54.0,0.072,45,103,0.9250879032716108,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,entity,0.6505127381618551,0.9259259259259259,0.5555555555555556,0.6666666666666666,0.5324081845820976,0.19157088122605365,0.8948400196037247,0.3470110189430453,0.301451556014297,583.0,54.0,0.09262435677530018,46,110,0.9190879532074424,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A1_tanpa_feedback,all,0.5434874409206139,0.9259259259259259,0.48148148148148145,0.6111111111111112,0.5193280712406395,0.16025641025641027,0.8802681992337165,0.38146736894737476,0.31008639105548247,750.0,54.0,0.072,46,110,0.9190879532074424,0,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
