condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,annotation_manifest,is_fixture
A2_feedback_langsung,entity,0.6558828646630351,0.9074074074074074,0.5370370370370371,0.6851851851851852,0.5479626436449063,0.2,0.8983406847300988,0.3178802229408765,0.26979122534061356,583.0,54.0,0.09262435677530018,42,126,0.9193536510556304,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5692350958052592,0.9074074074074074,0.48148148148148145,0.6111111111111112,0.5211988304093567,0.16013071895424835,0.8826628352490421,0.3578436994052665,0.2900814199719055,750.0,54.0,0.072,42,126,0.9193536510556304,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6052797723042579,0.8518518518518519,0.5185185185185185,0.6481481481481481,0.5518688890216461,0.19913419913419914,0.868129944689491,0.28780499375371904,0.25651514444863227,583.0,54.0,0.09262435677530018,43,108,0.9180409371668202,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5474537375380225,0.8518518518518519,0.46296296296296297,0.5740740740740741,0.532093765341188,0.16312056737588654,0.8553639846743295,0.3175563674339601,0.26225479353286724,750.0,54.0,0.072,43,108,0.9180409371668202,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6426830423125383,0.8703703703703703,0.5185185185185185,0.7037037037037037,0.5851302586646119,0.22488038277511962,0.9013512567387804,0.25862425924956733,0.21965949004728014,583.0,54.0,0.09262435677530018,44,105,0.9224155972838645,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.562120756780494,0.8703703703703703,0.46296296296296297,0.5740740740740741,0.557910376253933,0.18146718146718147,0.8785653469561516,0.30950599423149455,0.24357841477574957,750.0,54.0,0.072,44,105,0.9224155972838645,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6163182482919815,0.8703703703703703,0.5185185185185185,0.6111111111111112,0.5489405989199804,0.19831223628691982,0.874991248337184,0.31183826682612503,0.2750224554746645,583.0,54.0,0.09262435677530018,45,91,0.9247481288071377,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.546833550986012,0.8703703703703703,0.48148148148148145,0.5740740740740741,0.5275738753999624,0.16151202749140894,0.8616698595146871,0.33309995087003175,0.28169290760700394,750.0,54.0,0.072,45,91,0.9247481288071377,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6416907319940316,0.9074074074074074,0.5370370370370371,0.6851851851851852,0.5342327404280977,0.19140625,0.8979556115661976,0.33423497713130956,0.2889400738631893,583.0,54.0,0.09262435677530018,46,117,0.9182257241117314,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5501481546898586,0.9074074074074074,0.48148148148148145,0.6296296296296297,0.520281921012503,0.15960912052117263,0.8873323754789272,0.3663727286357677,0.2971402960232738,750.0,54.0,0.072,46,117,0.9182257241117314,7,10,7,4,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
